User,Question,Pre,Post
1,Q1,5,5
1,Q2,3,3
1,Q3,5,5
1,Q4,5,5
1,Q5,5,5
1,Q6,5,5
1,Q7,3,4
1,Q8,3,4
1,Q9,3,5
1,Q10,4,4
1,Q11,2,4
2,Q1,4,5
2,Q2,4,3
2,Q3,5,3
2,Q4,4,4
2,Q5,4,5
2,Q6,4,4
2,Q7,4,4
2,Q8,4,4
2,Q9,3,4
2,Q10,4,4
2,Q11,3,3
3,Q1,4,4
3,Q2,2,2
3,Q3,5,5
3,Q4,5,5
3,Q5,2,4
3,Q6,3,4
3,Q7,1,3
3,Q8,1,5
3,Q9,1,3
3,Q10,4,5
3,Q11,1,2
4,Q1,4,4
4,Q2,3,3
4,Q3,4,4
4,Q4,5,5
4,Q5,4,5
4,Q6,4,5
4,Q7,4,4
4,Q8,2,4
4,Q9,3,4
4,Q10,4,4
4,Q11,2,5
5,Q1,4,4
5,Q2,4,4
5,Q3,4,4
5,Q4,3,2
5,Q5,1,4
5,Q6,1,4
5,Q7,2,3
5,Q8,1,3
5,Q9,2,2
5,Q10,3,3
5,Q11,1,3
6,Q1,1,3
6,Q2,2,4
6,Q3,1,4
6,Q4,2,3
6,Q5,3,3
6,Q6,4,5
6,Q7,1,5
6,Q8,3,5
6,Q9,1,2
6,Q10,2,4
6,Q11,1,3
